Frequency	dB	Unweighted
2875.4	103.1	
2917.4	103.2	
2959.9	103.3	
3003.1	103.3	
3046.8	103.4	
3091.3	103.4	
3136.3	103.4	
3182.1	103.4	
3228.4	103.4	
3275.5	103.3	
3323.3	103.3	
3371.7	103.2	
3420.9	103.2	
3470.8	103.1	
3521.4	103.0	
3572.7	103.0	
3624.8	102.9	
3677.6	102.9	
3731.2	102.8	
3785.6	102.7	
3840.8	102.6	
3896.8	102.6	
3953.6	102.5	
4011.3	102.4	
4069.8	102.3	
4129.1	102.3	
4189.3	102.2	
4250.4	102.1	
4312.3	102.0	
4375.2	101.9	
4439.0	101.9	
4503.7	101.8	
4569.4	101.7	
4636.0	101.6	
4703.6	101.5	
4772.2	101.3	
4841.7	101.2	
4912.3	101.0	
4984.0	100.8	
5056.6	100.5	
5130.3	100.3	
5205.1	100.1	
5281.0	99.9	
5358.0	99.7	
5436.1	99.5	
5515.4	99.4	
5595.8	99.2	
5677.4	99.0	
5760.1	98.8	
5844.1	98.6	
5929.3	98.4	
6015.8	98.3	
6103.5	98.1	
6192.5	98.0	
6282.7	97.9	
6374.3	97.8	
6467.3	97.7	
6561.6	97.7	
6657.2	97.7	
6754.3	97.8	
6852.8	98.0	
6952.7	98.2	
7054.0	98.4	
7156.9	98.8	
7261.2	99.2	
7367.1	99.7	
7474.5	100.2	
7583.5	100.8	
7694.0	101.4	
7806.2	101.9	
7920.0	102.3	
8035.5	102.3	
8152.6	101.9	
8271.5	101.1	
8392.1	100.0	
8514.4	98.8	
8638.6	97.6	
8764.5	96.5	
8892.3	95.4	
9021.9	94.4	
9153.5	93.5	
9286.9	92.7	
9422.3	91.9	
9559.7	91.3	
9699.1	90.7	
9840.5	90.2	
9983.9	89.8	
10129.5	89.4	
10277.2	89.1	
10427.0	88.9	
10579.0	88.7	
10733.3	88.7	
10889.7	88.7	
11048.5	88.8	
11209.6	89.1	
11373.0	89.4	
11538.8	90.0	
11707.1	90.7	
11877.7	91.4	
12050.9	89.3	
12226.6	87.9	
12404.9	90.6	
12585.7	92.6	
12769.2	94.2	
12955.4	95.4	
13144.3	96.0	
13335.9	95.8	
13530.3	95.0	
13727.6	94.1	
13927.7	93.1	
14130.8	92.3	
14336.8	91.7	
14545.8	91.3	
14757.9	91.1	
14973.0	91.1	
15191.3	91.3	
15412.8	91.7	
15637.5	92.1	
15865.5	92.4	
16096.8	92.3	
16331.5	91.4	
16569.6	90.1	
16811.2	88.4	
17056.3	86.7	
17304.9	85.2	
17557.2	84.0	
17813.2	83.0	
18072.9	82.4	
18336.4	82.0	
18603.7	81.6	
18875.0	81.4	
19150.1	80.5	
19429.3	79.0	
19712.6	76.5	
20000.0	73.7	
