Frequency	dB	Unweighted
2875.4	102.1	
2917.4	102.1	
2959.9	102.1	
3003.1	102.1	
3046.8	102.1	
3091.3	102.0	
3136.3	101.9	
3182.1	101.8	
3228.4	101.6	
3275.5	101.5	
3323.3	101.3	
3371.7	101.2	
3420.9	101.0	
3470.8	100.9	
3521.4	100.8	
3572.7	100.7	
3624.8	100.5	
3677.6	100.4	
3731.2	100.2	
3785.6	100.1	
3840.8	99.9	
3896.8	99.8	
3953.6	99.6	
4011.3	99.5	
4069.8	99.4	
4129.1	99.3	
4189.3	99.2	
4250.4	99.0	
4312.3	98.9	
4375.2	98.8	
4439.0	98.6	
4503.7	98.5	
4569.4	98.3	
4636.0	98.1	
4703.6	97.9	
4772.2	97.8	
4841.7	97.6	
4912.3	97.4	
4984.0	97.2	
5056.6	97.0	
5130.3	96.8	
5205.1	96.7	
5281.0	96.5	
5358.0	96.3	
5436.1	96.2	
5515.4	96.0	
5595.8	95.8	
5677.4	95.6	
5760.1	95.4	
5844.1	95.2	
5929.3	95.0	
6015.8	94.8	
6103.5	94.6	
6192.5	94.4	
6282.7	94.2	
6374.3	94.1	
6467.3	94.1	
6561.6	94.0	
6657.2	94.0	
6754.3	94.1	
6852.8	94.2	
6952.7	94.4	
7054.0	94.7	
7156.9	95.1	
7261.2	95.5	
7367.1	96.1	
7474.5	96.8	
7583.5	97.6	
7694.0	98.4	
7806.2	99.2	
7920.0	99.6	
8035.5	99.4	
8152.6	98.7	
8271.5	97.6	
8392.1	96.4	
8514.4	95.2	
8638.6	94.3	
8764.5	93.5	
8892.3	92.6	
9021.9	91.9	
9153.5	91.2	
9286.9	90.7	
9422.3	90.3	
9559.7	90.2	
9699.1	90.1	
9840.5	90.3	
9983.9	90.7	
10129.5	91.2	
10277.2	91.8	
10427.0	92.5	
10579.0	93.1	
10733.3	93.4	
10889.7	93.5	
11048.5	93.4	
11209.6	93.1	
11373.0	92.7	
11538.8	92.3	
11707.1	91.8	
11877.7	91.1	
12050.9	90.3	
12226.6	89.5	
12404.9	88.8	
12585.7	88.4	
12769.2	88.0	
12955.4	87.7	
13144.3	87.7	
13335.9	87.9	
13530.3	88.4	
13727.6	89.2	
13927.7	90.2	
14130.8	91.5	
14336.8	93.1	
14545.8	94.8	
14757.9	96.4	
14973.0	97.5	
15191.3	98.0	
15412.8	97.8	
15637.5	97.1	
15865.5	96.0	
16096.8	94.5	
16331.5	93.3	
16569.6	92.9	
16811.2	93.6	
17056.3	94.2	
17304.9	94.0	
17557.2	92.9	
17813.2	91.8	
18072.9	91.1	
18336.4	90.5	
18603.7	89.4	
18875.0	88.5	
19150.1	87.9	
19429.3	86.5	
19712.6	84.3	
20000.0	81.7	
