Frequency	dB	Unweighted
2875.4	101.0	
2917.4	101.0	
2959.9	101.0	
3003.1	101.0	
3046.8	101.0	
3091.3	100.9	
3136.3	100.8	
3182.1	100.7	
3228.4	100.6	
3275.5	100.5	
3323.3	100.3	
3371.7	100.2	
3420.9	100.0	
3470.8	99.9	
3521.4	99.7	
3572.7	99.5	
3624.8	99.4	
3677.6	99.2	
3731.2	99.1	
3785.6	98.9	
3840.8	98.8	
3896.8	98.6	
3953.6	98.5	
4011.3	98.4	
4069.8	98.3	
4129.1	98.2	
4189.3	98.0	
4250.4	97.9	
4312.3	97.8	
4375.2	97.7	
4439.0	97.6	
4503.7	97.4	
4569.4	97.3	
4636.0	97.1	
4703.6	96.9	
4772.2	96.8	
4841.7	96.6	
4912.3	96.4	
4984.0	96.3	
5056.6	96.2	
5130.3	96.1	
5205.1	95.9	
5281.0	95.8	
5358.0	95.7	
5436.1	95.6	
5515.4	95.4	
5595.8	95.3	
5677.4	95.2	
5760.1	95.0	
5844.1	94.9	
5929.3	94.7	
6015.8	94.6	
6103.5	94.5	
6192.5	94.4	
6282.7	94.3	
6374.3	94.3	
6467.3	94.3	
6561.6	94.4	
6657.2	94.6	
6754.3	94.8	
6852.8	95.1	
6952.7	95.5	
7054.0	95.9	
7156.9	96.5	
7261.2	97.2	
7367.1	97.9	
7474.5	98.5	
7583.5	98.9	
7694.0	98.9	
7806.2	98.3	
7920.0	97.2	
8035.5	95.8	
8152.6	94.3	
8271.5	92.9	
8392.1	91.7	
8514.4	90.8	
8638.6	90.0	
8764.5	89.4	
8892.3	88.8	
9021.9	88.2	
9153.5	87.6	
9286.9	87.3	
9422.3	87.0	
9559.7	86.9	
9699.1	87.0	
9840.5	87.3	
9983.9	87.8	
10129.5	88.4	
10277.2	89.1	
10427.0	89.8	
10579.0	90.4	
10733.3	90.7	
10889.7	90.9	
11048.5	90.8	
11209.6	90.5	
11373.0	90.2	
11538.8	89.8	
11707.1	89.4	
11877.7	88.8	
12050.9	88.0	
12226.6	87.2	
12404.9	86.7	
12585.7	86.3	
12769.2	85.9	
12955.4	85.7	
13144.3	85.7	
13335.9	86.1	
13530.3	86.6	
13727.6	87.5	
13927.7	88.6	
14130.8	90.1	
14336.8	91.9	
14545.8	94.0	
14757.9	96.2	
14973.0	97.9	
15191.3	98.6	
15412.8	98.3	
15637.5	97.3	
15865.5	95.7	
16096.8	93.9	
16331.5	92.4	
16569.6	92.0	
16811.2	92.3	
17056.3	92.5	
17304.9	91.7	
17557.2	90.4	
17813.2	89.3	
18072.9	88.5	
18336.4	87.7	
18603.7	86.1	
18875.0	85.1	
19150.1	84.5	
19429.3	83.3	
19712.6	81.5	
20000.0	79.1	
