Frequency	dB	Unweighted
2875.4	102.8	
2917.4	102.9	
2959.9	102.9	
3003.1	102.9	
3046.8	102.9	
3091.3	102.8	
3136.3	102.8	
3182.1	102.7	
3228.4	102.6	
3275.5	102.4	
3323.3	102.3	
3371.7	102.2	
3420.9	102.1	
3470.8	101.9	
3521.4	101.8	
3572.7	101.7	
3624.8	101.6	
3677.6	101.5	
3731.2	101.4	
3785.6	101.4	
3840.8	101.3	
3896.8	101.2	
3953.6	101.2	
4011.3	101.1	
4069.8	101.1	
4129.1	101.0	
4189.3	100.9	
4250.4	100.8	
4312.3	100.7	
4375.2	100.5	
4439.0	100.3	
4503.7	100.1	
4569.4	99.9	
4636.0	99.6	
4703.6	99.4	
4772.2	99.2	
4841.7	98.9	
4912.3	98.7	
4984.0	98.5	
5056.6	98.4	
5130.3	98.2	
5205.1	98.1	
5281.0	98.0	
5358.0	97.8	
5436.1	97.7	
5515.4	97.6	
5595.8	97.5	
5677.4	97.4	
5760.1	97.3	
5844.1	97.2	
5929.3	97.2	
6015.8	97.1	
6103.5	97.1	
6192.5	97.1	
6282.7	97.1	
6374.3	97.2	
6467.3	97.4	
6561.6	97.6	
6657.2	97.8	
6754.3	98.2	
6852.8	98.6	
6952.7	99.0	
7054.0	99.5	
7156.9	99.9	
7261.2	100.2	
7367.1	100.3	
7474.5	100.0	
7583.5	99.5	
7694.0	98.6	
7806.2	97.6	
7920.0	96.6	
8035.5	95.6	
8152.6	94.7	
8271.5	93.9	
8392.1	93.3	
8514.4	92.8	
8638.6	92.5	
8764.5	92.2	
8892.3	92.1	
9021.9	92.0	
9153.5	92.1	
9286.9	92.4	
9422.3	92.8	
9559.7	93.4	
9699.1	94.1	
9840.5	94.9	
9983.9	95.7	
10129.5	96.3	
10277.2	96.7	
10427.0	96.9	
10579.0	97.0	
10733.3	97.0	
10889.7	96.9	
11048.5	96.9	
11209.6	96.7	
11373.0	96.3	
11538.8	95.6	
11707.1	94.8	
11877.7	93.8	
12050.9	93.0	
12226.6	92.3	
12404.9	91.8	
12585.7	91.4	
12769.2	91.2	
12955.4	91.0	
13144.3	90.7	
13335.9	90.3	
13530.3	89.8	
13727.6	89.2	
13927.7	88.7	
14130.8	88.4	
14336.8	88.3	
14545.8	88.4	
14757.9	88.8	
14973.0	89.6	
15191.3	90.4	
15412.8	91.3	
15637.5	92.2	
15865.5	92.9	
16096.8	93.7	
16331.5	94.9	
16569.6	96.3	
16811.2	97.1	
17056.3	96.3	
17304.9	93.4	
17557.2	89.5	
17813.2	86.0	
18072.9	83.0	
18336.4	80.8	
18603.7	79.0	
18875.0	77.1	
19150.1	75.2	
19429.3	73.8	
19712.6	72.7	
20000.0	72.3	
