Frequency	dB	Unweighted
2875.4	101.3	
2917.4	101.3	
2959.9	101.3	
3003.1	101.2	
3046.8	101.2	
3091.3	101.2	
3136.3	101.1	
3182.1	101.1	
3228.4	101.1	
3275.5	101.0	
3323.3	100.9	
3371.7	100.8	
3420.9	100.7	
3470.8	100.6	
3521.4	100.5	
3572.7	100.3	
3624.8	100.1	
3677.6	100.0	
3731.2	99.8	
3785.6	99.6	
3840.8	99.4	
3896.8	99.2	
3953.6	99.0	
4011.3	98.9	
4069.8	98.7	
4129.1	98.5	
4189.3	98.3	
4250.4	98.1	
4312.3	97.9	
4375.2	97.8	
4439.0	97.7	
4503.7	97.6	
4569.4	97.4	
4636.0	97.3	
4703.6	97.1	
4772.2	96.9	
4841.7	96.6	
4912.3	96.2	
4984.0	95.7	
5056.6	95.3	
5130.3	94.9	
5205.1	94.7	
5281.0	94.6	
5358.0	94.5	
5436.1	94.5	
5515.4	94.5	
5595.8	94.5	
5677.4	94.6	
5760.1	94.6	
5844.1	94.6	
5929.3	94.7	
6015.8	94.7	
6103.5	94.7	
6192.5	94.7	
6282.7	94.6	
6374.3	94.7	
6467.3	94.7	
6561.6	94.9	
6657.2	95.1	
6754.3	95.4	
6852.8	95.7	
6952.7	96.0	
7054.0	96.4	
7156.9	96.7	
7261.2	97.1	
7367.1	97.5	
7474.5	97.9	
7583.5	98.3	
7694.0	98.7	
7806.2	99.2	
7920.0	99.7	
8035.5	100.1	
8152.6	100.1	
8271.5	99.6	
8392.1	98.7	
8514.4	97.6	
8638.6	96.4	
8764.5	95.3	
8892.3	94.2	
9021.9	93.3	
9153.5	92.5	
9286.9	91.8	
9422.3	91.2	
9559.7	90.7	
9699.1	90.3	
9840.5	90.0	
9983.9	89.8	
10129.5	89.7	
10277.2	89.6	
10427.0	89.7	
10579.0	89.9	
10733.3	90.2	
10889.7	90.6	
11048.5	91.2	
11209.6	91.9	
11373.0	92.7	
11538.8	93.0	
11707.1	91.3	
11877.7	89.8	
12050.9	92.4	
12226.6	95.5	
12404.9	97.9	
12585.7	98.7	
12769.2	97.6	
12955.4	95.6	
13144.3	93.7	
13335.9	92.0	
13530.3	90.7	
13727.6	89.6	
13927.7	88.6	
14130.8	87.8	
14336.8	87.1	
14545.8	86.5	
14757.9	86.0	
14973.0	85.5	
15191.3	85.2	
15412.8	84.8	
15637.5	84.7	
15865.5	84.6	
16096.8	84.7	
16331.5	85.0	
16569.6	85.5	
16811.2	86.2	
17056.3	86.8	
17304.9	86.4	
17557.2	84.2	
17813.2	81.0	
18072.9	77.7	
18336.4	74.6	
18603.7	71.6	
18875.0	68.6	
19150.1	65.9	
19429.3	63.1	
19712.6	59.6	
20000.0	58.4	
